FID,Route_Name,Route_Numb,Route_Dire,On_Street,At_Street,X,Y
456,Crosstown 2,0.000000000000000, ,Little RiverAcres,Abbey,-82.928713033099996,42.326536654100003
457,Crosstown 2,0.000000000000000, ,Little River Acres,Aire,-82.928699415799997,42.325248006000002
458,Crosstown 2,0.000000000000000, ,Little River Acres,Copperfield,-82.930615535200005,42.324169070700002
459,Crosstown 2,0.000000000000000, ,Little River Acres,East Moor,-82.933620070299995,42.324958690499997
460,Crosstown 2,0.000000000000000, ,Little River Acres,Little River,-82.934570479800001,42.326905593600003
461,Crosstown 2,0.000000000000000, ,Little River,Laporte,-82.938148424700003,42.327299047300002
462,Crosstown 2,0.000000000000000, ,Lauzon,Edgar,-82.939777940200003,42.326560296700002
463,Crosstown 2,0.000000000000000, ,Lauzon,ABC Day Nursery,-82.938770922700002,42.325018528500003
464,Crosstown 2,0.000000000000000, ,Lauzon,Tranby,-82.938202381200000,42.324077168999999
465,Crosstown 2,0.000000000000000, ,Lauzon Pkwy,Lauzon Line,-82.938108328400006,42.321813846600001
466,Crosstown 2,0.000000000000000, ,Lauzon Pkwy,VIA Rail Tracks,-82.939073896799997,42.317992568900003
467,Crosstown 2,0.000000000000000, ,Tecumseh Mall,Rear Entrance,-82.936948086599998,42.316033855999997
468,Crosstown 2,0.000000000000000, ,Lauzon Pkwy,Lauzon Line,-82.938207643699997,42.320179690000003
469,Crosstown 2,0.000000000000000, ,Lauzon,Tranby,-82.938137471199994,42.324484852700003
470,Crosstown 2,0.000000000000000, ,Lauzon,Trinity Towers,-82.938923939199995,42.325729164800002
471,Crosstown 2,0.000000000000000, ,Lauzon,Little River,-82.939697515099994,42.326995040000000
472,Crosstown 2,0.000000000000000, ,Little River Acres,Little River,-82.934776049800007,42.326932205600002
473,Crosstown 2,0.000000000000000, ,Little River Acres,Darlington,-82.933586677299999,42.324538095500003
474,Crosstown 2,0.000000000000000, ,Little River Acres,Copperfield,-82.930600355500005,42.324010510400001
475,Crosstown 2,0.000000000000000, ,Little RiverAcres,Aire,-82.928498251400001,42.325694293100000
476,Crosstown 2,0.000000000000000, ,Little RiverAcres,Little River,-82.928527025899996,42.327032039099997
477,Crosstown 2,0.000000000000000, ,Riverdale,St Rose,-82.929097481800000,42.329573383700001
478,Crosstown 2,0.000000000000000, ,Riverdale,Jerome,-82.929577902899993,42.331562008100001
479,Crosstown 2,0.000000000000000, ,Riverdale,Wyandotte,-82.930007924500003,42.333393637999997
480,Crosstown 2,0.000000000000000, ,Riverdale,Menard,-82.930622720499997,42.335967640100002
481,Crosstown 2,0.000000000000000, ,Riverdale,Riverside,-82.931321226199998,42.338819518599998
482,Crosstown 2,0.000000000000000, ,Riverside,Marina,-82.933242770999996,42.340140702600003
483,Crosstown 2,0.000000000000000, ,Riverside,Solidarity Tower,-82.935293328599997,42.341213780799997
484,Crosstown 2,0.000000000000000, ,Riverside,Riverside Tower,-82.938036686399997,42.342441723299999
485,Crosstown 2,0.000000000000000, ,Riverside,Shoreline Towers,-82.939762037300000,42.342371077300001
486,Crosstown 2,0.000000000000000, ,Riverside,Dieppe,-82.943209797700007,42.341493256900002
487,Crosstown 2,0.000000000000000, ,Lauzon,Riverside,-82.947746965600004,42.339524902299999
488,Crosstown 2,0.000000000000000, ,Lauzon,Clairview,-82.946920652599999,42.338190758000003
489,Crosstown 2,0.000000000000000, ,Lauzon,Cedarview,-82.945239514299999,42.335473605099999
490,Crosstown 2,0.000000000000000, ,Lauzon,Wyandotte,-82.944277125799999,42.333932648400001
491,Crosstown 2,0.000000000000000, ,Wyandotte,Matthew Brady,-82.946688438600006,42.333058598699999
492,Crosstown 2,0.000000000000000, ,Wyandotte,Fairview,-82.949548446400001,42.332571276499998
493,Crosstown 2,0.000000000000000, ,Wyandotte,Vernon,-82.952460888199994,42.332080625000003
494,Crosstown 2,0.000000000000000, ,Wyandotte,St Rose,-82.954816864700007,42.331336958199998
495,Crosstown 2,0.000000000000000, ,Wyandotte,Janisse,-82.957712358199998,42.330774717099999
496,Crosstown 2,0.000000000000000, ,Wyandotte,Homedale,-82.960141554000003,42.330305939600002
497,Crosstown 2,0.000000000000000, ,Wyandotte,Jefferson,-82.964397059000007,42.329490227900003
498,Crosstown 2,0.000000000000000, ,Wyandotte,Reedmere,-82.967634392500003,42.328854057800001
499,Crosstown 2,0.000000000000000, ,Wyandotte,Villaire,-82.969783496199994,42.328447860499999
500,Crosstown 2,0.000000000000000, ,Wyandotte,Ford,-82.972533083200005,42.327924211099997
501,Crosstown 2,0.000000000000000, ,Wyandotte,Westminster,-82.975378468499997,42.327367565499998
502,Crosstown 2,0.000000000000000, ,Wyandotte,Dawson,-82.978047252500005,42.326847099200002
503,Crosstown 2,0.000000000000000, ,Wyandotte,Pillette,-82.980644901399998,42.326347272900001
504,Crosstown 2,0.000000000000000, ,Wyandotte,Jos Janisse,-82.984380247800004,42.325625803599998
505,Crosstown 2,0.000000000000000, ,Wyandotte,Rossini,-82.986296061000004,42.325264877599999
506,Crosstown 2,0.000000000000000, ,Wyandotte,George,-82.988481644100005,42.324853246399996
507,Crosstown 2,0.000000000000000, ,Wyandotte,Sterling,-82.990614252499995,42.324779684600003
508,Crosstown 2,0.000000000000000, ,Wyandotte,Strabane,-82.995034647599994,42.324631673799999
509,Crosstown 2,0.000000000000000, ,Wyandotte,Belleview,-82.997248763299993,42.324553023400000
510,Crosstown 2,0.000000000000000, ,Wyandotte,Drouillard,-83.001549281699994,42.324580576700001
511,Crosstown 2,0.000000000000000, ,Wyandotte,St Luke,-83.004338346099999,42.323625949099998
512,Crosstown 2,0.000000000000000, ,Wyandotte,Monmouth,-83.009365214200002,42.323970394699998
513,Crosstown 2,0.000000000000000, ,Wyandotte,Devonshire,-83.011709057900006,42.323304950199997
514,Crosstown 2,0.000000000000000, ,Wyandotte,Chilver,-83.014013065499995,42.322443997199997
515,Crosstown 2,0.000000000000000, ,Wyandotte,Gladstone,-83.017340559299996,42.321197997399999
516,Crosstown 2,0.000000000000000, ,Wyandotte,Hall,-83.019336897200006,42.320445116199998
517,Crosstown 2,0.000000000000000, ,Wyandotte,Langlois,-83.022905441099994,42.319153712899997
518,Crosstown 2,0.000000000000000, ,Wyandotte,Marentette,-83.025780787100004,42.318113955500003
519,Crosstown 2,0.000000000000000, ,Wyandotte,Louis,-83.027429623399996,42.317522836800002
520,Crosstown 2,0.000000000000000, ,Wyandotte,Glengarry,-83.030228506399993,42.316532080999998
521,Crosstown 2,0.000000000000000, ,Wyandotte,McDougall,-83.032949600099997,42.315571531200000
522,Crosstown 2,0.000000000000000, ,Wyandotte,Goyeau,-83.035477183400005,42.314696189300001
523,Crosstown 2,0.000000000000000, ,Wyandotte,Ouellette,-83.037373384800006,42.314001349599998
524,Crosstown 2,0.000000000000000, ,Wyandotte,Victoria,-83.039338629800000,42.313300264699997
525,Crosstown 2,0.000000000000000, ,Wyandotte,Bruce,-83.042667005200002,42.312115952100001
526,Crosstown 2,0.000000000000000, ,Wyandotte,Janette,-83.043956139200006,42.311661719500002
527,Crosstown 2,0.000000000000000, ,Wyandotte,Crawford,-83.047493114500000,42.310391976900000
528,Crosstown 2,0.000000000000000, ,Wyandotte,Wellington,-83.050263798200007,42.309416644999999
529,Crosstown 2,0.000000000000000, ,Wyandotte,McKay,-83.053045474800001,42.308415222199997
530,Crosstown 2,0.000000000000000, ,Wyandotte,Campbell,-83.056474842399993,42.307207387699997
531,Crosstown 2,0.000000000000000, ,Wyandotte,Bridge,-83.058319829799999,42.306611749600002
532,Crosstown 2,0.000000000000000, ,Wyandotte,Randolph,-83.061292451100002,42.305698749999998
533,Crosstown 2,0.000000000000000, ,Wyandotte,California,-83.063776740099996,42.304908629899998
534,Crosstown 2,0.000000000000000, ,Wyandotte,Patricia,-83.066407004900000,42.304095852000003
535,Crosstown 2,0.000000000000000, ,Wyandotte,Rosedale,-83.070350017699994,42.302193638100000
536,Crosstown 2,0.000000000000000, ,Wyandotte,Mill,-83.071231921199995,42.300682551000001
537,Crosstown 2,0.000000000000000, ,Mill,Peter,-83.074288489099999,42.301645358499997
538,Crosstown 2,0.000000000000000, ,Sandwich,Brock,-83.077233147699999,42.299585829300000
539,Crosstown 2,0.000000000000000, ,Sandwich,Chippawa,-83.078562856000005,42.297412874800003
540,Crosstown 2,0.000000000000000, ,Sandwich,South,-83.080057395799997,42.294975235899997
541,Crosstown 2,0.000000000000000, ,Sandwich,Watkins,-83.081332775400000,42.292895613200002
542,Crosstown 2,0.000000000000000, ,Prince,Peter,-83.080185527899999,42.290965291299997
543,Crosstown 2,0.000000000000000, ,Prince,King,-83.077907609600004,42.290339698600000
544,Crosstown 2,0.000000000000000, ,College,Prince,-83.075131643399999,42.290025810200000
545,Crosstown 2,0.000000000000000, ,College,South,-83.073103283600005,42.293323228799999
546,Central 3,0.000000000000000, ,College Ave,Community Centre,-83.071229388299997,42.295935556200000
547,Central 3,0.000000000000000, ,South,College,-83.072977200699995,42.292955292400002
548,Central 3,0.000000000000000, ,South,Wells,-83.070782709200003,42.292218550800001
