the_geom,stop_code,OBJECTID,stop_id,stop_name,stop_desc,stop_lat,stop_lon,Source
POINT (-83.16666599999996 42.262064000000066),FTODEB,215,298,Fort & West Outer Drive,S Fort St & Outer Dr,42.262064,-83.166666,DDOT GTFS
POINT (-83.15513899999996 42.27643100000006),FTSFEB,216,299,Fort & Schaefer,S Fort St & S Schaefer Hwy,42.276431,-83.155139,DDOT GTFS
POINT (-83.14088499999997 42.291754000000026),FTMLEB,217,300,Fort & Miller,W Fort St & Miller Rd,42.291754,-83.140885,DDOT GTFS
POINT (-83.10809499999993 42.30469400000004),FTWMEB,218,301,FORT & WATERMAN,W Fort St & Waterman St,42.304694,-83.108095,DDOT GTFS
POINT (-83.08965999999998 42.31255900000008),FTCKEB,219,302,Fort & Clark,W Fort St & Clark St,42.312559,-83.08966,DDOT GTFS
POINT (-83.06652799999995 42.322294000000056),FTRPEB,220,303,Fort & Rosa Parks Blvd.,W Fort St & Rosa Parks Blvd,42.322294,-83.066528,DDOT GTFS
POINT (-83.15503599999994 42.30648800000006),FD#2EB,221,304,Ford Gate #2,Miller Rd & Wren St,42.306488,-83.155036,DDOT GTFS
POINT (-83.08985099999995 42.36266000000006),FPRPEB,222,307,Ferry Park & Rosa Parks Blvd.,Ferry Park St & Rosa Parks Blvd,42.36266,-83.089851,DDOT GTFS
POINT (-83.09091399999994 42.362929000000065),FPRPWB,223,320,Ferry Park & Rosa Park Blvd.,,42.362929,-83.090914,DDOT GTFS
POINT (-83.15673299999997 42.32717400000007),WYMNWB,224,322,Wyoming & Michigan,Wyoming St & Michigan Ave,42.327174,-83.156733,DDOT GTFS
POINT (-83.15575599999994 42.30711500000007),FD#2WB,225,323,Ford Gate #2,Miller Rd & E Milwaukee St,42.307115,-83.155756,DDOT GTFS
POINT (-83.28545699999995 42.42800200000005),GR7MEB,226,324,Grand River & Seven Mile (Grandview,Grandview Ave & W 7 Mile Rd,42.428002,-83.285457,DDOT GTFS
POINT (-83.25356299999999 42.414612000000034),GR6MEB,227,325,Grand River & McNichols (nearside),Grand River Ave & W Mcnichols Rd,42.414612,-83.253563,DDOT GTFS
POINT (-83.23767499999997 42.40817800000008),GREGEB,228,327,Grand River & Evergreen,Grand River Ave & Evergreen Rd,42.408178,-83.237675,DDOT GTFS
POINT (-83.21837899999997 42.400473000000034),GRSOEB,229,328,Grand River & Southfield,W Grand River Ave & Southfield Fwy,42.400473,-83.218379,DDOT GTFS
POINT (-83.19798699999996 42.392326000000025),GRGFEB,230,329,Grand River & Greenfield,Grand River Ave & Greenfield Rd,42.392326,-83.197987,DDOT GTFS
POINT (-83.17900499999996 42.38476700000007),GRSFEB,231,330,Grand River & Schaefer,Grand River Ave & Schaefer Hwy,42.384767,-83.179005,DDOT GTFS
POINT (-83.15870799999999 42.37654300000003),GRWYEB,232,331,Grand River & Wyoming,Grand River Ave & Wyoming St,42.376543,-83.158708,DDOT GTFS
POINT (-83.15091299999995 42.37351800000005),GROMEB,233,332,Grand River & Oakman,Grand River Ave & Oakman Blvd,42.373518,-83.150913,DDOT GTFS
POINT (-83.13006099999996 42.364967000000036),GRJYEB,234,333,Grand River & Joy Road,Grand River Ave & Joy Rd,42.364967,-83.130061,DDOT GTFS
POINT (-83.11014099999994 42.35714800000005),GRSNEB,235,334,Grand River & Scotten,Grand River Ave & Larchmont St,42.357148,-83.110141,DDOT GTFS
POINT (-83.08902999999998 42.34863500000006),GRWREB,236,335,Grand River & Warren,Grand River Ave & W Warren Ave,42.348635,-83.08903,DDOT GTFS
